;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.5381333333333334
Hits;0
Miss;0
Key;DEFAULT
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1180  105   23   97   50  109  413   26    7    7   10  218    7   45
    19]
 [ 118 1006  147   24   71  255  158   85   14   57   20   33   13  155
    28]
 [  68  228 1142   63   46  159  121   13    5  114    4   17   14  218
     4]
 [ 123   68   24 1095   29  276  371   16    2   48   16   39    2   64
     9]
 [  13   95   18    2  755  206  118   74    4   16    3   73   30  408
   410]
 [  32  135   40   73  108 1193  343   34    1  105    6   28    8  192
    12]
 [ 229   96   20  255   80  459  813   42    6   31   19   90    4  120
    22]
 [  15  140   18   10  330  144   80  597   10   17   68   38   10  227
   516]
 [  12   65    2    4    4   11   11   17 2056    1    9    4    1    5
     2]
 [  10  131  104   43   81  640  173   33    4  740    8   15    9  226
    18]
 [  25   24    1   22    8   45   79  121   15    1 1908   56    0    4
    18]
 [ 148   34    8    7   93  127  193   34    3   14   19 1525    2   52
    47]
 [   8   23   55    2   52   60   18    5    2   11    0    6 1619  374
    14]
 [   7   49   54    1  210  182   81   25    0   63    0   16   33 1436
    41]
 [  24   52    3    1  495  110   85  160    5    4   15   92   11  138
  1097]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
