;0
ModelName;Bidirectional GRU
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.4333925925925926
Hits;0
Miss;0
Key;LOWER_I
SeqLen;300
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[ 918  165   76   21    2  162  512   56    9   88    6  204    2   36
    59]
 [  85  183  310    6   16  346  217   60   12  487   10   67   34  282
    69]
 [  42  109  938    3   33  177  134   31    5  368    1   14   18  307
    36]
 [ 114   49   25  698    3  248  675   11    9  163   12  103    0   59
    13]
 [  21  120  281    2  342  111   39   74    3  173    2   28   39  429
   561]
 [  45   84   68   14    4  817  401   23   16  582    0   41   20  180
    15]
 [ 105   94   57   75    5  519  929   20   26  254    5   85    9   83
    20]
 [  34   86  186    3  124   63   56  131    7  124   28   72   10  358
   938]
 [   2    5    2    3    2   20   52    2 2060    6   15   24    2    8
     1]
 [  18   69  170    8    8  508  188   34   14  775    4   33   57  314
    35]
 [  47   23    6    5    2   33   50   84    9   11 1678  305    0    5
    69]
 [ 333  107   20    4    3  132  285   70    6  105   52 1079    4   52
    54]
 [   0   10    8    0    0   36    8    5    3   84    1    0 1608  476
    10]
 [   6   21   96    0   56  132   25   16    4  245    3   11  250 1228
   105]
 [  36   93  135    1  131   73   31  133    3   79   16   46   19  253
  1243]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
