;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5769777777777778
Hits;0
Miss;0
Key;DEFAULT
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1521  213   24   13   44   56  146   17    9    7   11  151    9   29
    66]
 [ 168  911  230   17   81  225  131  115   24   65   24   33   21   87
    52]
 [  88  368 1197   11   34  115  102   30    3   93    9   16   32  111
     7]
 [  37   55   20 1161   52  177  347   41    4   60   31  110    8   58
    21]
 [  50  107   30   56  911  118   80  113    6   23   11   23   55  233
   409]
 [  42  154   89   88   73 1010  452   66    8  131   24   33   24   94
    22]
 [  96  100   15  448   64  345  765   51    9   49   32  193    9   74
    36]
 [  13   99   27   34   94   80   48 1217    8   38   69   21   19  181
   272]
 [  16   42    3    2    2   11    5    8 2077    2   28    3    1    0
     4]
 [  17  132  151   41   63  375  172   86    6  901   12   23   20  224
    12]
 [  16   12    2   25    5   35   60  116   17    3 1953   71    0    2
    10]
 [ 116   28    9   59   40   99  210   26    6   22   53 1557    3   36
    42]
 [   8   36   47    6   35   39   13   15    0   20    2    2 1785  227
    14]
 [  19   60   82    9  160  132   57   98    3  117    6   13   85 1307
    50]
 [  50   66    6   26  370   62   54  256    7    8   30   51   17   89
  1200]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
