;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5282074074074075
Hits;0
Miss;0
Key;LOWER
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1182  218   46   45   52   60  311  104   10   50   61  110   14   27
    26]
 [  68 1181  244   22   27  130  117  127   23  114   35   16   30   44
     6]
 [  39  296 1032   29   27  209   84   48    1  243    9   16   74  105
     4]
 [  28   65   28  896   57  308  255   38    2  149   33  258   23   36
     6]
 [  29  129   37   29  520   31   85  274    3  157   11  109   53  494
   264]
 [  12  137  115  156   23 1214  141   53    8  295   13   37   47   55
     4]
 [ 126  118   52  386   66  286  562   69   11  181   73  249   32   55
    20]
 [  23  178   30   18  140   43   58 1171    7   61   90   46   44  106
   205]
 [  13   61    3    2    1    7    8   17 2061    3   26    0    1    1
     0]
 [  13  148  178  136   64  547  100   64    5  631   23   81   74  160
    11]
 [  24   34    3   15    7   18   54   67    7    6 2024   57    1    3
     7]
 [  32   60    7  233   93   71  148   46    4  111   51 1346   11   41
    52]
 [   2   25   54    4    7   52   11    9    2   89    5    5 1861  118
     5]
 [   5   62   66   22  189   60   54   78    0  283    2   41  105 1202
    29]
 [  17   58    8   26  274   19   38  565    7   71   40   98   17  110
   944]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
