;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.4875259259259259
Hits;0
Miss;0
Key;RAW
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1071  369   36   61   34   64  271  114    7   76   54  114   10   35
     0]
 [ 129  928  302   30   42  196  116   84   22  177   19   22   26   89
     2]
 [  66  252 1008   25   27  100   55   34    2  408    3   27   59  150
     0]
 [  38   47   22  778   45  204  208   50    1  264   23  411   15   76
     0]
 [  39   99   41   37  348   55   85  552    5  180   17   89   37  555
    86]
 [  17  133   80  161   49 1070   95   33    3  539    9   26   34   61
     0]
 [ 134  110   39  388   79  278  407   77    7  262   58  354   25   66
     2]
 [  22  118   35   24  197   37   38  954    2  107   65   62   16  232
   311]
 [  11   50    1    2    2   14   23   14 2066    2   14    2    0    2
     1]
 [  10  115  156  134   67  377   91   56    4  918   11   71   45  180
     0]
 [  43   23    3   25    6   14   73   85    2   12 1960   69    3    3
     6]
 [  53   29   17  356   53   77  161  100    0  158   34 1202    6   58
     2]
 [   1   19   49    6   18   60    9   10    0  121    0    5 1737  213
     1]
 [   1   32   81   33  103   58   13   87    1  308    1   37   74 1353
    16]
 [  20   65   12   30  177   30   42  896    4   79   34   69   10  170
   654]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
