;0
ModelName;Bidirectional GRU
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.06862222222222222
Hits;0
Miss;0
Key;RAW
SeqLen;300
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[2316    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2184    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2216    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2182    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2225    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2310    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2286    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2220    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2204    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2235    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2327    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2306    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2249    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2198    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]
 [2292    0    0    0    0    0    0    0    0    0    0    0    0    0
     0]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
