;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5797333333333333
Hits;0
Miss;0
Key;LOWER_I
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1535  153   14    8   31   47  290   53   11   11   22   55    5   21
    60]
 [ 136 1044  229   21   44  135  210  124   20   65   27   14    8   79
    28]
 [  53  380 1165   19   21  113   86   38    4  176    5    6   30  112
     8]
 [  18   55   13 1227   70  242  274   13    3   65   13  102    8   44
    35]
 [  43   81   20   61  769   89  129  176    2   46    5   18   34  278
   474]
 [  24  107   41  114   73  963  365   24    2  420   10   20   35   88
    24]
 [ 225   97   18  193   75  269 1001   23    4   65   19  169    9   59
    60]
 [  57  114   31   27  155   42   67  958    7   27   60   14   14  193
   454]
 [  15   25    0    3    0    3   10    8 2121    1   12    2    0    3
     1]
 [  18  116   84   76   60  561  175   31    3  888   15   11   23  159
    15]
 [  54   16    2   10    4   25   88   66   10    3 1975   52    0    3
    19]
 [  80   25    4  106   69   80  330   21    0   26   20 1447    2   20
    76]
 [   3   19   34    2   29   47   29    9    2   87    1    0 1835  141
    11]
 [   5   40   71   10  186   95   84  100    1  158    1    9   77 1300
    61]
 [  35   41    6   26  238   32   94  256    6   13   18   57   18  114
  1338]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
