;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5307259259259259
Hits;0
Miss;0
Key;RAW
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1258  179   48   47   35   38  323   37   10   40   51  174   10   35
    31]
 [ 102 1074  337   37   20   99  118  112   10  147   29   27   12   48
    12]
 [  53  313 1039   31   14  133   91   40    2  341    7   25   31   86
    10]
 [  43   64   11 1040   35  181  273   28    2  150   33  224   10   75
    13]
 [  37  106   43   59  397   15  134  180    2  155   19  108   37  586
   347]
 [  25  167  127  189   22  969  177   33    3  449   15   46   19   65
     4]
 [ 222  112   40  432   48  154  640   37    2  177   72  243   13   72
    22]
 [  30  174   49   24  122   21   45  977    2  106   90   42   27  114
   397]
 [  25   49    0    4    1    4   11    8 2081    2   16    1    0    1
     1]
 [  18  158  165  169   43  476  133   67    2  738   25   48   31  143
    19]
 [  36   19    6   20    5   12   60   56    7   21 2022   43    0    4
    16]
 [  33   56    6  219   56   56  176   35    4   93   34 1396    5   53
    84]
 [   1   17  137   12   11   29   23    7    0   98    2    2 1751  153
     6]
 [   8   53   76   30  112   27   68   57    0  243    2   29   46 1407
    40]
 [  22   57   11   23  209   18   64  361    3   91   43  135   11  121
  1123]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
