;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5637629629629629
Hits;0
Miss;0
Key;LOWER_I
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1434  184   20   21   17   45  317  107   14    6   24   67    6   23
    31]
 [  86 1060  200   29   48  176  151  199   23   43   12   36   27   74
    20]
 [  41  248 1170   22   15  144   86   50    2  138    3   22   41  227
     7]
 [  24   41   13 1213   26  219  264   18    0   23   20  245   13   46
    17]
 [  37   60   20   22  354  136   69  320    4   19    6   99   54  348
   677]
 [  21   73   46  229   61 1079  294   45    2  250    7   43   38   98
    24]
 [ 215   80   31  288   52  302  846   73    2   34   22  213   15   57
    56]
 [  34   96   19   25  187   68   44  825   12   11   50   50   12  189
   598]
 [  10   42    2    3    0    5    6   18 2098    0   15    2    1    2
     0]
 [  14   90  126  119   68  694  149   50    3  641    7   36   43  178
    17]
 [  44   14    5   24    4   33   73   80   19    0 1976   27    1    0
    27]
 [  23   21    5  146   38   93  129   38    2    6   17 1661    1   51
    75]
 [   2   18   15    8   25   85   15    3    0   21    1    8 1919  120
     9]
 [   6   25   55   26  140  163   38   70    0   49    4   46  104 1400
    72]
 [  30   36    3   11  185   69   52  311    5    2   20   90   21  106
  1351]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
