;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.5635851851851852
Hits;0
Miss;0
Key;LOWER_I
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1257  309   28    8   77   50  398    8    3   15   13   48    3   18
    81]
 [  41 1133  226    2  180  126  166   39    5   63   13   25    9  134
    22]
 [  26  427 1189    6   34  114   95    7    0  151    2   19   13  127
     6]
 [  16   61   15  980   55  274  555   12    0   39   14   87    4   57
    13]
 [  21  162   31    5  705  112   91  399    0   38    5   37   20  365
   234]
 [   6   93   60  111  126 1187  261   13    0  287    2   42   13   98
    11]
 [  99  133   30  197  202  293 1001   23    2   48   13  138    4   65
    38]
 [  11  156   10   12  553   81   63  778    3   25   39   31    5  207
   246]
 [  10   82    0    2    6   10   15    8 2057    0    9    1    0    2
     2]
 [   5   94  113   31   94  545  106   23    0  933    5   40   14  214
    18]
 [  27   26    4   11   29   27   94  121    8    2 1902   61    1    4
    10]
 [  11   55   14   22  115  121  200   20    0   28   13 1598    2   29
    78]
 [   2   33   46    2   61   48    8   16    0   50    1    5 1720  250
     7]
 [   4   70   62   10  259  138   57   61    0  124    3   14   28 1355
    13]
 [  15   57    8    4  373   72   61  260    5   11   12   83    9   96
  1226]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
