;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.43937777777777776
Hits;0
Miss;0
Key;RAW
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1050  246   42  204   46   94  260   77    4  138   14   80    2   26
    33]
 [ 130  787  530   38   13  166   72   94    6  249    9    8   14   65
     3]
 [  47  215 1059   46   16  149   43   35    0  429    3    5   75   91
     3]
 [  91   57   40  694   95  129  186   39    0  418   17  301    6   93
    16]
 [  33   68   44   75  378   55   27  412    1  285    6  121   52  540
   128]
 [  39  239  519  113   44  362   79   35    1  732    5   10   41   89
     2]
 [ 175  105   99  546   88  192  269   40    2  429   21  200   12   84
    24]
 [  42   92   49   17  138   20   25 1224    1  127   39   47   32  210
   157]
 [  31  127    4    2    0    7    6   12 1990    4   20    1    0    0
     0]
 [  22  125  317  127   69  196   52   75    0  841    8   29   88  280
     6]
 [  36   45    6   31   12   15   72  165    7   25 1832   59    0    8
    14]
 [  45   37   13  467  163   42   88   40    0  256   12 1024    4   65
    50]
 [   0   12  150    6   16   23    0   11    0  147    0    4 1712  167
     1]
 [   2   28   65   36  143   46    9  148    0  419    0   27  170 1099
     6]
 [  42   48   12   27  160   17   26 1091    2  114   16   74    8  147
   508]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
