;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5316444444444445
Hits;0
Miss;0
Key;LOWER
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1307  134   32   37   30   72  318   55   22   45   35  159    9   25
    36]
 [  98 1096  248   32   17  217  101  106   36  116   14   18   13   57
    15]
 [  61  257  931   35   10  321   79   42    2  316    7   16   45   86
     8]
 [  37   50   13  962   36  358  259   50    2  144   36  151   13   61
    10]
 [  38  105   17   30  467   62   76  218    2  141   17  130   47  565
   310]
 [  24  129   85  204   20 1171  123   62    4  312   16   44   33   73
    10]
 [ 165   82   36  427   56  335  520   54    8  171   60  261   22   65
    24]
 [  36  116   28   24   72   54   38 1263   11   77   70   22   25  131
   253]
 [  19   41    1    1    1   10   11   12 2078    3   21    2    1    1
     2]
 [  19  126  104  148   37  725   87   79    4  600   24   53   32  185
    12]
 [  35   24    2   26    4   28   85   93   19   10 1942   42    1    0
    16]
 [  69   43    3  195  112   96  169   41    6   86   30 1311   11   60
    74]
 [   2   13   65    6    9   49   10   14    1  122    5    5 1791  151
     6]
 [   6   39   31   28  138   78   31   81    0  267    1   25   53 1389
    31]
 [  25   53    6   23  247   22   41  386    3   73   30  124    9  135
  1115]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
