;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.4725037037037037
Hits;0
Miss;0
Key;LOWER
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1157  287   34   93   38   72  240   96   18   39   41  137   17   29
    18]
 [ 132  979  317   19   33  174   84  126   31   99   22   19   44   98
     7]
 [  67  277  885   25   31  219   65   38    1  288    6   13   70  227
     4]
 [  72   54   24  576   70  246  231   50    4  137   25  589   29   70
     5]
 [  29  120   36    9  319   91   64  401    6  104    8  114   66  599
   259]
 [  34  138  156  107   49  891  128   48   11  466    5   73   70  133
     1]
 [ 162  106   50  312   93  334  369   72   12  157   52  424   37   95
    11]
 [  24  124   11    9  172   31   40  747   11   68   67   71   29  300
   516]
 [  14   49    0    0    0    6   13   23 2075    3   16    2    1    1
     1]
 [  20  112  130   99   72  549   96   64    6  591   12   89   70  316
     9]
 [  45   14    5    9   17   20   57   91   16    7 1977   59    3    0
     7]
 [  55   32    5  264  112  130  162   64    5   94   46 1214   15   81
    27]
 [   5    9   53    1    5   45    4    8    7   55    2    9 1871  171
     4]
 [   5   36   64   15   95  107   39   70    1  208    4   38  114 1362
    40]
 [  21   66    7   12  170   30   40  607    6   48   31   88   17  215
   934]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
