;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5250370370370371
Hits;0
Miss;0
Key;RAW
SeqLen;200
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1382  246   16   48   47   53  275   73   19   34   25   45    9   27
    17]
 [ 109 1195  162   16   17  223   96  138   27   88   16   19   28   46
     4]
 [  70  444  844   40   14  161   72   61    5  305    3   12   71  112
     2]
 [  78   77   13  971   60  227  301   40    4  139   22  156   24   64
     6]
 [  86   78   38   50  575   59  111  419    5  129   12   61   64  423
   115]
 [  33  211   58  150   31 1185  174   42    7  303    5   24   41   45
     1]
 [ 303  144   12  406   73  307  591   59    8  133   35  120   27   58
    10]
 [  38  181   27   21  110   41   52 1350    9   48   58   33   34  113
   105]
 [  18   57    1    2    2   11    6    5 2089    2    9    1    0    1
     0]
 [  20  185  145  145   52  408   92   73    7  801   15   61   63  162
     6]
 [  74   45    2   21   11   16   59  101   20    6 1923   35    0    4
    10]
 [  66   52    5  238   88   92  187   65    3  117   28 1227   12   44
    82]
 [   6   21   58    8   25   67   12   14    3   74    0    3 1853  104
     1]
 [  13   39   67   45  172   62   49  112    0  242    0   16  125 1245
    11]
 [  49   58    9   22  267   28   58 1016    6   51   21   81   17  120
   489]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
