;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.46595555555555557
Hits;0
Miss;0
Key;LOWER
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1142  226    8   64  130  116  306   88    8   19   12  121    8   36
    32]
 [ 193 1199  131   19   50  189  111   86   15   91    5    7   14   72
     2]
 [  80  322  734   32   48  289   86   28    1  302    1    4   45  241
     3]
 [ 187   51    7  754   85  450  365   19    0   31   11  140   17   63
     2]
 [ 125  122   16   15  763  154  136  184    1   37    3    7   61  319
   282]
 [  80  143   57  177   87 1138  251   26    3  197    3    8   44   93
     3]
 [ 437  120   16  268  144  433  526   35    3   65   13  119   19   75
    13]
 [ 127  120   16   13  410   89   81  615    7   26   40    4   13  221
   438]
 [  43   86    0    1    2    5    7   11 2038    1    9    1    0    0
     0]
 [  70  151  189  115   95  819  185   48    2  325    3   14   39  177
     3]
 [ 213   46    2   18   13   28   64  104   15    7 1739   72    0    2
     4]
 [ 350   29    5  295  104  187  355   32    0   20    8  863    8   32
    18]
 [   4   30   30   10   37  111   10    3    1   26    1    0 1797  184
     5]
 [  24   44   73   14  280  197   65   33    0  113    1    4   90 1214
    46]
 [ 141   49    4    9  490   62   78  378    6   19   11   11   17  138
   879]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
