;0
ModelName;Bidirectional GRU
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.5551407407407407
Hits;0
Miss;0
Key;LOWER
SeqLen;300
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1488  176   59    4  126   19  158   42    5   31   30   68    6   21
    83]
 [ 110 1005  297   12   66   76  157  143   20  147   32   11   17   51
    40]
 [  65  267 1147   10   47   47   89   47    3  152    6   11   56  264
     5]
 [  86  123   52  710   73   91  558   43    5  158   42  131   16   83
    11]
 [  73   94   30    8 1072   12   74   77    0  147   16   35   45  273
   269]
 [  56  246  115   24   93  837  343   34    4  402   11   17   37   71
    20]
 [ 216  190   73  132  112  133  838   43    7  187   46  171   28   77
    33]
 [  44  174   58   12  102   15   48 1173   12   44   61   16   20  142
   299]
 [  17   42    4    2    2    3   17   40 2058    1   13    2    0    0
     3]
 [  31  132  151   51  161  146  204   50    3 1003   18   27   33  198
    27]
 [  59   51    8   11   13    7   78   68    3   13 1974   17    0    4
    21]
 [ 178   48   25   40  191   24  369   36    0   87   49 1158   14   50
    37]
 [  12   22  115    2   40   14   21   14    1   67    0    2 1798  134
     7]
 [  15   34  105    5  162   12   54   84    0  159    5   22   64 1446
    31]
 [  65   62   15    2  508    5   55  322    0   48   30   31   14  106
  1029]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
