;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;300
Time;-
Accuracy;0.4322962962962963
Hits;0
Miss;0
Key;DEFAULT
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[ 103  125   11  296  155  802  447   58    7  116    5   62    7   79
    43]
 [   2  580  163    7   77  341   29  176    6  530    5    3   21  230
    14]
 [   1  103  987   10   47  271   14   26    2  491    0    2   76  184
     2]
 [  13   92   26  444   74 1029  117   43    2  176    4   20    9  117
    16]
 [   1   35   19    2  770  169    3   89    3  101    1    5   72  740
   215]
 [   2   48   52   12  156 1072   36   50    0  358    0    9   57  443
    15]
 [  19   54   12   52  274  961  323   44    2  119    7   77   17  288
    37]
 [   1  136   12    3  128  104    6 1046    2   95   26    1   15  413
   232]
 [   2   85    4    4    6   14    0   20 2039   17    1    0    1    9
     2]
 [   0  108  396    6   97  403    8   61    1  620    2    1  119  401
    12]
 [  27   39    2    7   46   55   25  318    2    8 1675   19    1   25
    78]
 [   3   13    5    2  571  260   90   22    0   40   17 1045    3  153
    82]
 [   0    2   45    0   27   46    0   12    0   79    0    0 1541  494
     3]
 [   0   18   19    0  163  123    4   69    0  125    0    0  182 1464
    31]
 [   0   40    1    0  593   90    2  255    3   31   11   14   13  358
   881]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
