;0
ModelName;DENSE
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.5516444444444445
Hits;0
Miss;0
Key;DEFAULT
SeqLen;400
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[1439   88   23   22   27   74  353   36   18   18   20  119    8   42
    29]
 [  86  761   74   59   63  311  238   87   25  221   25   26   22  148
    38]
 [ 108  169 1101   48   26  133  104   23    3  226    8   20   23  217
     7]
 [  15   30   12 1338   13  193  195   38    5   94   51  119    9   58
    12]
 [  34  114   19   35  782  157  143  195    4   26   19   16   30  389
   262]
 [  27  171   25  114   54 1055  460   79    1  132   12   24   23  119
    14]
 [ 215  111   13  143   44  396  995   71   15   36   23   92    9   91
    32]
 [  18  110   12   51  348   93  121  388   10   34   95   23   26  207
   684]
 [   7   42    0    3    1    6   16    7 2090    2   14    5    3    4
     4]
 [  17  261   78  125   56  376  154   53    2  924   14   11   28  127
     9]
 [  16   16    3   74    4   28   47   79   11    5 1995   34    1    3
    11]
 [  96   31    6  140   20  117  245   65    5   20   30 1470    4   28
    29]
 [   8   19   15   11   15   94   18   21    0   33    2    0 1763  242
     8]
 [  20   78   59   25  220  172   77   70    2   48    5    5   59 1325
    33]
 [  36   56    2   14  314   82  131  254    8   11   34   36   21  101
  1192]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
