;0
ModelName;Bidirectional GRU
BatchSize;64
Optimizer;Adam
LR;0.001
Epochs;-
EmbeddingSize;50
Time;-
Accuracy;0.3645333333333333
Hits;0
Miss;0
Key;DEFAULT
SeqLen;300
VocabSize;10000
TrainableEmbedding;True
ConfMatrix;"[[ 552   57   29  485    1  132  234   68    4  134   67  463   12   50
    28]
 [ 143   97  361  126   22  273  210  138    4  385   25   36   25  260
    79]
 [  44   45  951   99    8  232  110   46    1  385    1    9   16  241
    28]
 [ 227   33   57  898    0  282  276   36    0  143   12  110    3   93
    12]
 [  56   55  150   12  168   85   93  217    2  151    9    5  104  436
   682]
 [  88   72  340  180    1  584  265   51    1  460    7   15   15  213
    18]
 [ 223   72   80  556    1  418  393   75    3  224   25   82    6  100
    28]
 [  94   73   73   20   68   39   67  272   16  106   70   17   86  381
   838]
 [  50    8    1    4    0   15   15   64 1854    7  148   14    1    3
    20]
 [  45   51  764   72   29  271  107   67    3  457   10    8   13  293
    45]
 [ 156   12    3   28    0    8   38   56   45    6 1660  283    1    8
    23]
 [ 459   44   13  279    0  132  212   55    2   72   98  863    0   62
    15]
 [  11   11   12    1   10   34   28   30    1   53    0    0 1598  363
    97]
 [  25   32  130    8   80  112   78   89    2  282    0    2  185  863
   310]
 [  85   52   61   11   82   45   90  223   14   80   24   17   81  334
  1093]]"
Type;NORMAL
TransformerName;-
NumberOfAuthors;15
